id,taxonID,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,taxonRemarks,language
https://www.gbif.org/species/5229197,https://www.gbif.org/species/5229197,Leptodon cayanensis,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Leptodon,cayanensis,,Especie,"(Latham, 1790)",,es
https://www.gbif.org/species/5229517,https://www.gbif.org/species/5229517,Leptopogon amaurocephalus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Leptopogon,amaurocephalus,,Especie,"Tschudi, 1846",,es
https://www.gbif.org/species/5229524,https://www.gbif.org/species/5229524,Leptopogon amaurocephalus diversus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Leptopogon,amaurocephalus,diversus,Subespecie,"Todd, 1913",subespecie con distribución en el valle del Magdalena en Colombia,es
https://www.gbif.org/species/5229514,https://www.gbif.org/species/5229514,Leptopogon rufipectus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Leptopogon,rufipectus,,Especie,"(Lafresnaye, 1846)",,es
https://www.gbif.org/species/5229505,https://www.gbif.org/species/5229505,Leptopogon superciliaris,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Leptopogon,superciliaris,,Especie,"Tschudi, 1844",,es
https://www.gbif.org/species/7192090,https://www.gbif.org/species/7192090,Leptopogon superciliaris superciliaris,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Leptopogon,superciliaris,superciliaris,Subespecie,,,es
UPTC:LineaBase:BoyacaBio:0564,UPTC:LineaBase:BoyacaBio:0564,Leptotila cassinii,Animalia,Chordata,Aves,Columbiformes,Columbidae,Leptotila,cassinii,,Especie,"Lawrence, 1867",,es
https://www.gbif.org/species/2496081,https://www.gbif.org/species/2496081,Leptotila rufaxilla,Animalia,Chordata,Aves,Columbiformes,Columbidae,Leptotila,rufaxilla,,Especie,"(Richard & Bernard, 1792)",,es
https://www.gbif.org/species/6179607,https://www.gbif.org/species/6179607,Leptotila rufaxilla pallidipectus,Animalia,Chordata,Aves,Columbiformes,Columbidae,Leptotila,rufaxilla,pallidipectus,Subespecie,"Chapman, 1915",,es
https://www.gbif.org/species/2496060,https://www.gbif.org/species/2496060,Leptotila verreauxi,Animalia,Chordata,Aves,Columbiformes,Columbidae,Leptotila,verreauxi,,Especie,"(Bonaparte, 1855)",,es
https://www.gbif.org/species/7191536,https://www.gbif.org/species/7191536,Leptotila verreauxi verreauxi,Animalia,Chordata,Aves,Columbiformes,Columbidae,Leptotila,verreauxi,verreauxi,Subespecie,,subespecie con distribución en la cordillera oreintal en Colombia,es
https://www.gbif.org/species/5228490,https://www.gbif.org/species/5228490,Lesbia nuna,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Lesbia,nuna,,Especie,"(Lesson, 1832)",,es
https://www.gbif.org/species/5228493,https://www.gbif.org/species/5228493,Lesbia nuna gouldii,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Lesbia,nuna,gouldii,Subespecie,"(Loddiges, 1832)",subespecie con distribución en la cordillera oriental en Colombia,es
https://www.gbif.org/species/5228496,https://www.gbif.org/species/5228496,Lesbia victoriae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Lesbia,victoriae,,Especie,"(Bourcier & Mulsant, 1846)",,es
https://www.gbif.org/species/6065844,https://www.gbif.org/species/6065844,Leucophaeus atricilla,Animalia,Chordata,Aves,Charadriiformes,Laridae,Leucophaeus,atricilla,,Especie,"(Linnaeus, 1758)",,es
https://www.gbif.org/species/2486501,https://www.gbif.org/species/2486501,Lipaugus unirufus,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Lipaugus,unirufus,,Especie,"P.L.Sclater, 1860",,es
https://www.gbif.org/species/2497873,https://www.gbif.org/species/2497873,Lophostrix cristata,Animalia,Chordata,Aves,Strigiformes,Strigidae,Lophostrix,cristata,,Especie,"(Daudin, 1800)",,es
https://www.gbif.org/species/2483402,https://www.gbif.org/species/2483402,Lophotriccus pileatus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Lophotriccus,pileatus,,Especie,"(Tschudi, 1844)",,es
https://www.gbif.org/species/2497088,https://www.gbif.org/species/2497088,Lurocalis rufiventris,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Lurocalis,rufiventris,,Especie,"Taczanowski, 1884",,es
UPTC:LineaBase:BoyacaBio:0577,UPTC:LineaBase:BoyacaBio:0577,Machaeropterus striolatus,Animalia,Chordata,Aves,Passeriformes,Pipridae,Machaeropterus,striolatus,,Especie,,,es
UPTC:LineaBase:BoyacaBio:0578,UPTC:LineaBase:BoyacaBio:0578,Machaeropterus striolatus antioquiae,Animalia,Chordata,Aves,Passeriformes,Pipridae,Machaeropterus,striolatus,antioquiae,Subespecie,,subespecie con distribución en el valle del río Magdalena en Colombia,es
https://www.gbif.org/species/2482934,https://www.gbif.org/species/2482934,Machetornis rixosa,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Machetornis,rixosa,,Especie,"(Vieillot, 1819)",,es
https://www.gbif.org/species/2484179,https://www.gbif.org/species/2484179,Macroagelaius subalaris,Animalia,Chordata,Aves,Passeriformes,Icteridae,Macroagelaius,subalaris,,Especie,"(Boissonneau, 1840)",Endémica de Colombia,es
https://www.gbif.org/species/2475142,https://www.gbif.org/species/2475142,Malacoptila mystacalis,Animalia,Chordata,Aves,Galbuliformes,Bucconidae,Malacoptila,mystacalis,,Especie,"(Lafresnaye, 1850)",,es
